source,compiler,profile,cmenu,size,unit,exact,mnemonics_equal
shared,1.2.5n,nolifetimes,57.543045,1024,86.219666,25,False
shared,1.2.5n,noloopinvariants,57.331127,1020,86.2378,25,False
shared,1.2.5n,nostrength,47.7649,1100,86.246956,25,False
shared,1.2.5n,nodeadstore,57.331127,1020,86.06363,25,False
shared,1.3,configured,66.21192,976,99.4505,116,False
shared,1.3,level0,7.201987,1216,67.997925,28,False
shared,1.3,level1,19.854305,1204,78.818,34,False
shared,1.3,level2,40.52649,920,90.45369,42,False
shared,1.3,level3,66.21192,976,99.2045,107,False
shared,1.3,peephole,61.79801,948,95.64867,42,False
shared,1.3,schedule,59.781456,972,64.6334,29,False
shared,1.3,defaults,57.0,948,61.129967,22,False
shared,1.3,space,51.956955,876,96.67628,80,False
shared,1.3,auto,66.21192,976,99.32814,115,False
shared,1.3,nopropagation,58.241722,1076,97.44034,79,False
shared,1.3,nocse,56.682117,1036,95.2643,67,False
shared,1.3,nolifetimes,66.00993,976,99.23445,103,False
shared,1.3,noloopinvariants,66.21192,976,98.64133,104,False
shared,1.3,nostrength,57.089405,1048,98.505295,101,False
shared,1.3,nodeadstore,66.21192,976,98.50354,96,False
shared,1.3.2,configured,66.21192,976,99.30154,113,False
shared,1.3.2,level0,7.201987,1216,68.01974,28,False
shared,1.3.2,level1,19.854305,1204,78.728096,34,False
shared,1.3.2,level2,40.52649,920,90.30846,42,False
shared,1.3.2,level3,66.21192,976,99.05554,104,False
shared,1.3.2,peephole,61.79801,948,95.55796,42,False
shared,1.3.2,schedule,59.781456,972,64.50444,29,False
shared,1.3.2,defaults,57.0,948,61.107944,22,False
shared,1.3.2,space,51.956955,876,96.52785,79,False
shared,1.3.2,auto,66.21192,976,86.19408,97,False
shared,1.3.2,nopropagation,58.241722,1076,97.26478,78,False
shared,1.3.2,nocse,56.682117,1036,95.12172,66,False
shared,1.3.2,nolifetimes,66.00993,976,99.08709,101,False
shared,1.3.2,noloopinvariants,66.21192,976,98.49449,102,False
shared,1.3.2,nostrength,57.089405,1048,98.35155,99,False
shared,1.3.2,nodeadstore,66.21192,976,98.354576,94,False
shared,2.0,configured,66.21192,976,99.30154,113,False
shared,2.0,level0,7.201987,1216,68.01974,28,False
shared,2.0,level1,19.854305,1204,78.728096,34,False
shared,2.0,level2,40.52649,920,90.30846,42,False
shared,2.0,level3,66.21192,976,99.05554,104,False
shared,2.0,peephole,61.79801,948,95.55796,42,False
shared,2.0,schedule,59.781456,972,64.50444,29,False
shared,2.0,defaults,57.0,948,61.107944,22,False
shared,2.0,space,51.956955,876,96.52785,79,False
shared,2.0,auto,66.21192,976,86.19408,97,False
shared,2.0,nopropagation,58.241722,1076,97.26478,78,False
shared,2.0,nocse,56.682117,1036,95.12172,66,False
shared,2.0,nolifetimes,66.00993,976,99.08709,101,False
shared,2.0,noloopinvariants,66.21192,976,98.49449,102,False
shared,2.0,nostrength,57.089405,1048,98.35155,99,False
shared,2.0,nodeadstore,66.21192,976,98.354576,94,False
typed_split,1.2.5n,configured,76.30132,1192,86.6375,25,False
typed_split,1.2.5n,level0,24.986755,1328,67.72469,23,False
typed_split,1.2.5n,level1,38.539734,1316,74.17439,24,False
typed_split,1.2.5n,level2,56.39404,1076,82.93861,24,False
typed_split,1.2.5n,level3,76.5,1172,86.979095,25,False
