address,section,size_bytes,class,subtype_reason,likely_owner,owner_confidence
0x803E5F10,.sdata2,8,float-pool,read-only const/float pool (.sdata2),dll_020C_wmspiritplace.c,high
0x803E5F20,.sdata2,80,float-pool,read-only const/float pool (.sdata2),dll_020D_wmseqpoint.c,high
0x803E5F78,.sdata2,48,float-pool,read-only const/float pool (.sdata2),dll_020E_wmsun.c,high
0x803E5FB0,.sdata2,112,float-pool,read-only const/float pool (.sdata2),dll_0210_wmplanets.c,high
0x803E6030,.sdata2,8,float-pool,read-only const/float pool (.sdata2),dll_0211_wmwallcrawler.c,high
0x803E6060,.sdata2,1168,float-pool,read-only const/float pool (.sdata2),dll_0215_wmnewcrystal.c,high
0x803E64F8,.sdata2,224,float-pool,read-only const/float pool (.sdata2),dfplightni.c,high
0x803E65E0,.sdata2,432,float-pool,read-only const/float pool (.sdata2),worldasteroids.c,high
0x803E6798,.sdata2,1456,float-pool,read-only const/float pool (.sdata2),proximitymine_update.c,high
0x803E6D50,.sdata2,256,float-pool,read-only const/float pool (.sdata2),dll_028C_wcbouncycra.c,high
0x803E6E58,.sdata2,944,float-pool,read-only const/float pool (.sdata2),dll_0296_wctempledia.c,high
0x803E7218,.sdata2,304,float-pool,read-only const/float pool (.sdata2),dll_02A7_arwproximit.c,high
0x803E7358,.sdata2,768,float-pool,read-only const/float pool (.sdata2),dll_02B0_brokenpipe.c,high
0x803E7678,.sdata2,8,float-pool,read-only const/float pool (.sdata2),GXInit.c,high
0x803E76F8,.sdata2,8,float-pool,read-only const/float pool (.sdata2),GXTexture.c,high
0x803E777C,.sdata2,20,float-pool,read-only const/float pool (.sdata2),THPDec.c,high
0x803E7790,.sdata2,488,float-pool,read-only const/float pool (.sdata2),THPDec.c,med
0x803E79C0,.sdata2,1136,float-pool,read-only const/float pool (.sdata2),math_float_helpers.c,high
0x803E7E50,.sdata2,1304,float-pool,read-only const/float pool (.sdata2),trigf.c,high
0x803E8390,.sdata2,152,float-pool,read-only const/float pool (.sdata2),synth_constants.c,high
0x803E8440,.sbss2,56,bss,zero-init,,-
