## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
dlls/engine/2/2.c                                       88     +160  seqClearTaskTexts, ObjSeq_SetCameraTransformOverride, ObjSeq_AudioStreamCallback, cameraFocusNpc, ObjSeq_preempt, endObjSequence, ObjSeq_start, ObjSeq_runBgCmds, objLoadAnimdata, ObjSeq_updateCamera, animatedObjFreeAndSavePlayerPos, objSeqExecCmd06, ObjSeq_ExecuteActionCommand, ObjSeq_SetupInitialPlaybackState, ObjSeq_ApplyFrameCurves, ObjSeq_update, ObjSeq_getBool, ObjSeq_setBool, ObjSeq_addBgCmd, ObjSeq_onMapSetup
dlls/engine/5/5.c                                       31     +e90  skyReservedReturnZeroB, skyRefreshPlayerEnvFx, skyUpdateEnvFx, skySetSlotFlag80, skyGetCurrentAmbientAndLightColors, skyGetSunRenderAlpha, skyGetObjectLightDirection, skySetLightSlot, renderSunAndMoon, skyRenderTimeOfDayBackdrop, skyReservedReturnZeroA, skyGetTimer, renderSky, skyLoadLights
dlls/engine/6/6.c                                        1       -4  sky2_run
dlls/engine/7/7.c                                       57     +a90  lightningDrawBolt, lightningRender, mm_free_, snowCloudInitFlakes, snowFreeSnowCloud, snowPrintSnowCloud, snowReposSnowCloud, newClouds, newclouds_renderSnowClouds, newclouds_run, newclouds_onMapSetup, newclouds_updateEnvfxAct, newclouds_release
main/skystars.c                                          4      -24  drawSkyStars, initSkyStars
dlls/engine/9/9.c                                        8      +68  renderClouds, cloudaction_update
dlls/engine/19/19.c                                     11       +8  waterfx_buildSplashDisplayList, waterfx_spawnSimpleRipple, waterfx_render, waterfx_spawnImpactSurface
dlls/engine/10_expgfx/expgfx.c                          95     -a9c  viewFinderSetZoom, objfx_spawnRandomBurst, objfx_spawnDirectionalBurst, objfx_spawnArcedBurst, objfx_spawnBoxBurst, objfx_spawnLightPulse, objfx_spawnFlaggedTrailBurst, objfx_spawnPulseBurst, objDoParticleFx, objDoHitParticleFx, spawnDimExplosion, spawnExplosion, expgfx_updateResourceEntries, expgfx_acquireResourceEntry, expgfxRemove, expgfxRemoveAll, expgfxGetSlot, expgfx_updateActivePools, drawGlow, renderParticles, expgfx_free, expgfx_resetAllPools, expgfx_updateFrameState, expgfx_addremove, expgfx_onMapSetup
dlls/engine/11/11.c                                     46     +ab0  dll_0B_spawnSequence, dll_0B_beginSequence[NEWFN], modgfx_stepPosition[NEWFN], partfx_freeEffectsBySequence, dll_0B_markSourceFrameUpdated, dll_0B_func0D, dll_0B_func0C, dll_0B_releaseHandle, dll_0B_renderEffects, dll_0B_detachSource, dll_0B_freeSourceEffects, dll_0B_updateActiveEffects, dll_0B_spawnEffect, dll_0B_onMapSetup, dll_0B_initialise
dlls/engine/12/12.c                                      1     -7e0  projgfx_onMapSetup
dlls/engine/24/24.c                                      6      +20  boneParticleEffect_update
dlls/engine/14/14.c                                     24     +ff4  partfx_spawnObject
dlls/engine/26/26.c                                      9      -18  Effect1_spawnObject
dlls/engine/27/27.c                                      2     +160  Effect2_spawnObject
dlls/engine/28/28.c                                      5       -8  Effect3_spawnObject
dlls/engine/29/29.c                                      3     -1a0  Effect4_spawnObject
dlls/engine/30/30.c                                      3      -24  Effect5_spawnObject
dlls/engine/31/31.c                                      1       -4  Effect6_spawnObject
dlls/engine/32/32.c                                      1       -4  Effect7_spawnObject
dlls/engine/33/33.c                                      1       -4  Effect8_spawnObject
dlls/engine/34/34.c                                      2       -8  Effect9_spawnObject
dlls/engine/35/35.c                                      2      -3c  Effect10_spawnObject
dlls/engine/36/36.c                                      3       -c  Effect11_spawnObject
dlls/engine/37/37.c                                      1       -8  Effect12_spawnObject
dlls/engine/39/39.c                                     16     -154  Effect14_spawnObject
dlls/engine/41/41.c                                      1       -4  Effect16_spawnObject
dlls/engine/40/40.c                                      4      -10  Effect15_spawnObject
dlls/engine/38/38.c                                      1       -4  Effect13_spawnObject
dlls/engine/42/42.c                                      2       -c  Effect17_spawnObject
dlls/engine/43/43.c                                      4      +e8  Effect18_spawnObject
dlls/engine/44/44.c                                      1       -4  Effect19_spawnObject
dlls/engine/45/45.c                                     18    -1ed0  Effect20_spawnObject
dlls/engine/22/22.c                                      5      -80  screenTransition_drawWhiteWipe, screenTransition_fadeFrom, screenTransition_update
dlls/engine/4/4.c                                        1      +28  Dummy04_func26_nop
dlls/engine/15/15.c                                      9      +18  playerRunStateMachine, player_setState, player_update
dlls/engine/20_Hcurves/Hcurves.c                        24      +4c  getPatchGroup, Objfsa_FindWalkGroupIndexAtPoint, Objfsa_UpdateWalkGroupPatches
dlls/engine/20_Hcurves/Hcurves_romcurve.c                5      -38  RomCurve_findShortestPathLink, RomCurve_func13, RomCurve_findLinkTowardNearestOfType
dlls/engine/21/21.c                                     20     -254  curves_resolveSingleTrace, curves_snapToNearestSurface, curves_resolveWaterFloorCeiling, curves_updateLocalPointCollision, curves_preparePointCollisionFrame, curves_sampleHeight, curves_getCurves, curves_advanceCollision, curves_gatherTrackTriangles, playerHasKrazoaSpirit, loadSaveSettings, getLastSavedGameTexts
dlls/engine/23/23.c                                     28     -8a4  saveGame_unsaveObjectPos, saveGame_saveObjectPos, loadGameOptions, trySaveGame, gplayNewGame, saveSelect_getInfo, SaveGame_gplaySetObjGroupStatus, SaveGame_gplaySetAct, updateSavedHealth, SaveGame_updateTimes, SaveGame_gplayAddTime, SaveGame_setCharacter, loadMapForCurrentSaveGame, SaveGame_gplayGotoSavegame, SaveGame_gplaySavePoint, SaveGame_initialise
dlls/engine/17/17.c                                      1      +30  loadTaskTexts
