## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
dlls/objects/522_WM_GeneralS/WM_GeneralS.c               2      -1c  WM_GeneralScales_sequenceCallback
dlls/objects/523_FireFly/FireFly.c                       5      +28  firefly_activeTick, firefly_free, firefly_update, firefly_init
dlls/objects/524_WM_spiritpl/WM_spiritpl.c               9     -568  WM_spiritplace_SeqFn, WM_spiritplace_update, WM_spiritplace_init
dlls/objects/525_WM_seqpoint/WM_seqpoint.c               3     -238  wmseqpoint_SeqFn, wmseqpoint_update
dlls/objects/526_WM_sun/WM_sun.c                         2       +4  wmsun_updateGlare
dlls/objects/533_WM_newcryst/WM_newcryst.c               2     +d0c  WM_newcrystal_SeqFn, WM_newcrystal_init
dlls/objects/534_VFP_LevelCo/VFP_LevelCo.c               3     -194  VFP_LevelControl_free, VFP_LevelControl_update, VFP_LevelControl_init
dlls/objects/535_VFP_ObjCrea/VFP_ObjCrea.c               2     +178  VFP_ObjCreator_update
dlls/objects/538_VFP_statueb/VFP_statueb.c               7       +0  VFP_statueball_update
dlls/objects/541/541.c                                   3     +da0  VFPLift_SeqFn, vfplift23_updateState, VFPLift_update
dlls/objects/544/544.c                                   1      -ac  vfpdoorswitch_updateExplodingVariant
dlls/objects/545/545.c                                   2      -74  SeqPoint_SeqFn
dlls/objects/549_VFP_flamepo/VFP_flamepo.c               1      -38  VFP_flamepoint_update
dlls/objects/550_VFP_lavapoo/VFP_lavapoo.c               3      -40  VFP_lavapool_updateWave
dlls/objects/551_VFP_lavasta/VFP_lavasta.c               2      -48  VFP_lavastar_update, VFP_lavastar_init
dlls/objects/552/552.c                                   1     +4e0  VFP_SpellPlace_getObjectTypeId
dlls/objects/575_DB_egg/DB_egg.c                         5      +a8  dbegg_setupFromDef, dbegg_update
dlls/objects/576_GCRobotBlas/GCRobotBlas.c               1      +5c  GCRobotBlast_SeqFn
dlls/objects/577_DrakorEnerg/DrakorEnerg.c               6     +8f8  DrakorEnergy_func0B_nop, drakorenergy_update, drakorenergy_init
dlls/objects/578_DBstealerwo/DBstealerwo.c              13      -f8  dbstealerworm_stateHandlerA07, dbstealerworm_stateHandlerA06, dbstealerworm_stateHandlerA01, dbstealerworm_launchIceBall, dbstealerworm_processEffectFlags, dbstealerworm_update, dbstealerworm_init
dlls/objects/579_DBHoleContr/DBHoleContr.c               1      -10  dbholecontrol1_SeqFn
dlls/objects/553_DFP_LevelCo/DFP_LevelCo.c               5     +350  DFP_LevelControl_updateMapAct2[NEWFN], DFP_LevelControl_updateMapAct1, DFP_LevelControl_free, DFP_LevelControl_init
dlls/objects/554_DFP_ObjCrea/DFP_ObjCrea.c               2     +100  DFP_ObjCreator_update
dlls/objects/557_DFP_seqpoin/DFP_seqpoin.c               2      -54  DFP_seqpoint_SeqFn
dlls/objects/559_DFP_floorba/DFP_floorba.c               5      +1c  DFP_Floorbar_render, DFP_Floorbar_update
dlls/objects/561_DFP_ForceAw/DFP_ForceAw.c               3      -30  TrickyCurve_updateBurstTrigger, TrickyCurve_init
dlls/objects/562_DFP_RotateP/DFP_RotateP.c               6     -280  DFP_RotateP_updateEffectHandleRing, DFP_RotateP_update, DFP_RotateP_init
dlls/objects/563_DFP_Statue1/DFP_Statue1.c               1       -c  dfpstatue1_updateState
dlls/objects/565_DFP_TargetB/DFP_TargetB.c               5       -4  dfptargetblock_hitDetect, dfptargetblock_update
dlls/objects/567_DFPSpPl/DFPSpPl.c                       1     +10c  DFPSpPl_getObjectTypeId
dlls/objects/568_LINKA_levco/LINKA_levco.c               3     -9ec  LinkALevControl_seqFn, LinkALevControl_init
dlls/objects/589_BossDrakor/BossDrakor.c                19     -36c  bossdrakor_spawnAttackObjects, bossdrakor_handleActionEvent, bossdrakor_free, bossdrakor_render, bossdrakor_hitDetect, bossdrakor_update, bossdrakor_init
dlls/objects/590/590.c                                   4      +18  drakord_thornbush_hitDetect, drakord_thornbush_update, drakord_thornbush_init
dlls/objects/466_WORLDplanet/WORLDplanet.c              20      -b8  worldplanet_updateMapLighting, worldplanet_update, worldplanet_init
dlls/objects/467/467.c                                   6      -b4  worldobj_render, worldobj_update, worldobj_init
dlls/objects/604/604.c                                  17     -218  snowclaw_spawnDropBomb, snowclaw_animEventCallback, snowclaw_render, snowclaw_hitDetect, snowclaw_update, snowclaw_init
dlls/objects/605_CRCloudRace/CRCloudRace.c               5     -164  crcloudrace_updateCompletionState, crcloudrace_updateRaceState
dlls/objects/606/606.c                                   1      -4c  spellstone_update
dlls/objects/607_CRFuelTank/CRFuelTank.c                 2      +90  crfueltank_hitDetect, crfueltank_update
dlls/objects/608/608.c                                   6      -44  ProximityMine_render, ProximityMine_update
dlls/objects/591_KT_RexLevel/KT_RexLevel.c               3     -31c  KT_RexLevel_free, KT_RexLevel_update, KT_RexLevel_init
dlls/objects/592_KT_Rex/KT_Rex.c                        31     -468  ktrex_stateHandlerA10, ktrex_stateHandlerA05, ktrex_stateHandlerA02, ktrex_stateHandlerA01, ktrex_stateHandlerB08, ktrex_stateHandlerB07, ktrex_stateHandlerB02, ktrex_updateContactEffects, ktrex_updateAttackEffects, ktrex_animEventCallback, ktrex_free, ktrex_render, ktrex_update, ktrex_init
dlls/objects/594_KT_Lazerwal/KT_Lazerwal.c               1       -4  KT_Lazerwall_spawnEnergyArc
dlls/objects/595_KT_Lazerlig/KT_Lazerlig.c               5      -24  ktlazerlight_free, ktlazerlight_update, ktlazerlight_init
dlls/objects/609_DR_LaserCan/DR_LaserCan.c              23      -94  drlasercannon_aimAtTarget, DR_LaserCannon_free, DR_LaserCannon_hitDetect, DR_LaserCannon_update, DR_LaserCannon_init
dlls/objects/610/610.c                                   9     -4b4  drakormissile_requestFree, drakormissile_startActiveLaunch, drakormissile_startStraightLaunch, drakormissile_isFadingOut, drakormissile_update, drakormissile_init
dlls/objects/614_KytesMum/KytesMum.c                     9     +210  kytesmum_idleCallback, kytesmum_updateQuestStateCallback, kytesmum_render, kytesmum_update, kytesmum_init
dlls/objects/613_DR_Creator/DR_Creator.c                 6     +7a4  DR_Creator_SeqFn, DR_Creator_update, DR_Creator_init
dlls/objects/616_DR_CageCont/DR_CageCont.c               2      -9c  DR_CageControl_update, DR_CageControl_init
dlls/objects/619_DR_Chimmey/DR_Chimmey.c                 4      +a4  DR_Chimmey_update, DR_Chimmey_init
dlls/objects/620/620.c                                   8     +56c  DR_CageWith_func0A, DR_CageWith_free[NEWFN], DR_CageWith_hitDetect, DR_CageWith_init
dlls/objects/626/626.c                                  24     -244  hightop_stateHandler10, hightop_stateHandler09, hightop_stateHandler08, hightop_stateHandler07, hightop_stateHandler04, hightop_handleMotionEvent, hightop_stateHandler03, HighTop_seqFn, hightop_playMovementSfx, HighTop_hitDetect, HighTop_update, HighTop_init
dlls/objects/623/623.c                                   4       +c  drgenerator_hitDetect, drgenerator_update, drgenerator_init
dlls/objects/627_FirePipe/FirePipe.c                    11     -190  firepipe_spawnEffectObject, firepipe_updateState, firepipe_free, firepipe_render, firepipe_init
dlls/objects/636_DR_LightBea/DR_LightBea.c               2     -6f0  DR_LightBea_render
dlls/objects/641_DR_EarthCal/DR_EarthCal.c               1      +8c  drearthcal_func0A
dlls/objects/642_BarrelGener/BarrelGener.c               1      +20  barrelgener_queueObjectRelease
main/obj_movelib.c                                       9     +4b8  Obj_UpdateLightningCluster, Obj_PredictInterceptPoint[NEWFN], voxmaps_traceScaledVectorEnd[NEWFN], Obj_SteerVelocityTowardVector, Obj_SmoothTurnAnglesTowardVelocity
dlls/objects/643_DR_BarrelGr/DR_BarrelGr.c              10       +0  DR_BarrelGr_free, DR_BarrelGr_render, DR_BarrelGr_update
dlls/objects/650/650.c                                   9      -58  earthwalker_SeqFn[NEWFN], earthwalker_update, earthwalker_init
dlls/objects/652_WCBouncyCra/WCBouncyCra.c               1      +18  wcblock_isPlayerAwayFromStoredCell
dlls/objects/656_WCPushBlock/WCPushBlock.c              10     -168  wcpushblock_update
dlls/objects/653_WCLevelCont/WCLevelCont.c              11     -524  wclevelcont_updateAct2State, wclevelcont_updateAct1State, wclevelcont_seqFn, wclevelcont_free, wclevelcont_init
dlls/objects/654_WCBeacon/WCBeacon.c                     1       +c  wcbeacon_update
dlls/objects/657_WCTile/WCTile.c                         5       -c  wctile_update
dlls/objects/658_WCTrexStatu/WCTrexStatu.c               1       +0  wctrexstatu_hitDetect
dlls/objects/659/659.c                                   1      -2c  suntemple_update
dlls/objects/661_WCApertureS/WCApertureS.c               4     -1fc  wcapertures_free, wcapertures_update, wcapertures_init
dlls/objects/662_WCTempleDia/WCTempleDia.c               5      -3c  wctempledia_getObjectTypeId, wctempledia_update
dlls/objects/663_WCTempleBri/WCTempleBri.c               3     +86c  wctemplebri_updateModelWarp[NEWFN], wctemplebri_update
dlls/objects/666_ARWArwing/ARWArwing.c                  38     -4f4  arwarwing_readControls, arwarwing_spawnBomb, arwarwing_spawnLaserShot, arwarwing_handlePathDamage, arwarwing_handleObjectDamage, arwarwing_updateRollAndEngine, arwarwing_warpByCourse, arwarwing_SeqFn, arwarwing_initAttachments, arwarwing_resetFlightState, arwarwing_addMaxHealth, arwarwing_isExplodingOrWarping, arwarwing_hitDetect, arwarwing_update
dlls/objects/667/667.c                                   6      -c8  arwprojectile_createLinkedEffect, arwingandrossstuff_free, arwingandrossstuff_hitDetect, arwingandrossstuff_update, arwingandrossstuff_init
dlls/objects/668_ARWArwingBo/ARWArwingBo.c               2      -38  arwarwingbo_free, arwarwingbo_init
dlls/objects/669_ARWArwingGu/ARWArwingGu.c               5      -84  arwarwinggu_applyTextureFrame, ARWArwingGu_update
dlls/objects/672/672.c                                   4      -3c  ring_onCollect, ring_update
dlls/objects/673_ARWLevelCon/ARWLevelCon.c               7      -80  arwlevelcon_onSeqFree, arwlevelcon_free, arwlevelcon_update, arwlevelcon_init
dlls/objects/677_ARWGenerato/ARWGenerato.c               1      -20  arwgenerato_spawnSquadronShipA
dlls/objects/678_ARWSquadron/ARWSquadron.c               6      +50  arwsquadron_spawnProjectile, arwsquadron_handleDamage, ARWSquadron_update, ARWSquadron_init
dlls/objects/681/681.c                                   5     -164  PointLight_render, PointLight_update, PointLight_init
dlls/objects/682_LGTDirectio/LGTDirectio.c               1     -148  directionallight_update
dlls/objects/685/685.c                                   2     -6fc  SoftBody_update, SoftBody_init
dlls/objects/687/687.c                                   3      -34  tree_spawnAmbientEffect, tree_update, tree_init
dlls/objects/688_BrokenPipe/BrokenPipe.c                 1     -878  brokenpipe_init
dlls/objects/689_CmbSrc/CmbSrc.c                        11     +200  cmbsrc_free, cmbsrc_hitDetect, cmbsrc_init
dlls/objects/690_DustMoteSou/DustMoteSou.c               3     -be4  dustmotesou_update
dlls/objects/693_Timer/Timer.c                           3      -54  timer_isEffectMode, timer_update
dlls/objects/694_CNThitObjec/CNThitObjec.c               4     -104  cnthitobjec_SeqFn, cnthitobjec_render, cnthitobjec_hitDetect, cnthitobjec_init
dlls/objects/695_MCUpgrade/MCUpgrade.c                   2      -64  mcupgradema_SeqFn
dlls/objects/697_MCStaffEffe/MCStaffEffe.c               1       +0  mcstaffeffe_render
dlls/objects/698_MCLightning/MCLightning.c               4     -114  mclightning_SeqFn, mclightning_render, mclightning_init
dlls/objects/699_GF_LevelCon/GF_LevelCon.c               5     -120  gf_levelcon_SeqFn, gf_levelcon_init
dlls/objects/700_Andross/Andross.c                      13    -1270  andross_spawnBombCollector, andross_spawnAimedRing, andross_processPartHits, andross_SeqFn, andross_update, andross_init
dlls/objects/701/701.c                                  12     -3c0  androsshand_spawnShot, androsshand_setState, AndrossHand_update, AndrossHand_init
dlls/objects/702_AndrossBrai/AndrossBrai.c               1     -128  AndrossBrain_update
dlls/objects/703_AndrossLigh/AndrossLigh.c               1     -344  androssligh_updateBeam
dolphin/base/PPCArch.c                                   1      -30  PPCMtwpar
dolphin/os/OS.c                                          6      -c4  ClearArena, OSInit, OSDefaultExceptionHandler
dolphin/os/OSAlarm.c                                     1       -4  DecrementerExceptionHandler
dolphin/os/OSFont.c                                      5     -1bc  GetFontCode, OSLoadFont, OSGetFontTexel, OSGetFontWidth
dolphin/os/OSInterrupt.c                                 2       -4  OSRestoreInterrupts, ExternalInterruptHandler
dolphin/os/OSReboot.c                                    2       +0  __OSReboot
dolphin/os/OSReset.c                                     1      -10  OSResetSystem
dolphin/os/OSRtc.c                                       1      +6c  OSGetWirelessID[NEWFN]
dolphin/mtx/mtx.c                                        3       +0  PSMTXRotRad, PSMTXRotAxisRad, C_MTXLightPerspective
dolphin/mtx/mtxvec.c                                     1      -8c  PSMTXMultVec
dolphin/mtx/vec.c                                        2      -18  PSVECNormalize, C_VECHalfAngle
dolphin/dvd/dvd.c                                        2      +b4  cbForStateBusy[NEWFN], DVDStopStreamAtEndAsync
dolphin/dvd/dvdqueue.c                                   1     +10c  __DVDDequeueWaitingQueue[NEWFN]
dolphin/exi/EXIBios.c                                    2      -38  EXISync, EXTIntrruptHandler
dolphin/gx/GXInit.c                                      1       -4  GXInit
dolphin/gx/GXAttr.c                                      3      -10  __GXSetVCD, __GXCalculateVLim
dolphin/gx/GXGeometry.c                                  2      -28  __GXSetDirtyState, GXBegin
dolphin/gx/GXLight.c                                     1     -180  GXGetLightAttnK
dolphin/gx/GXTexture.c                                   1      +84  GXPreLoadEntireTexture
dolphin/gx/GXPerf.c                                      1      -70  GXReadXfRasMetric
dolphin/card/CARDUnlock.c                                8      -4c  DummyLen, __CARDUnlock
dolphin/card/CARDMount.c                                 5     -838  IsCard, CARDProbeEx, DoMount, __CARDMountCallback, CARDUnmount
dolphin/card/CARDStat.c                                  1      -c4  CARDSetStatus
dolphin/thp/THPDec.c                                     2      +34  THPInit
musyx/runtime/synth.c                                    4      +b4  do_voice_portamento, StartLayer, synthStartSound, synthFXStart
musyx/runtime/voice.c                                    2       +c  voiceAllocate
musyx/runtime/hw_dspctrl.c                               2      -2c  salBuildCommandList
dolphin/axfx/reverb_std_callback.c                       1     +7e8  ReverbSTDCallback[NEWFN]
dolphin/OdemuExi2/DebuggerDriver.c                       1     -7e8  DBGEXIImm
dolphin/TRK_MINNOW_DOLPHIN/msghndlr.c                    1       +0  TRKDoReadMemory
dolphin/TRK_MINNOW_DOLPHIN/support.c                     2      +24  HandlePositionFileSupportRequest
dolphin/TRK_MINNOW_DOLPHIN/targimpl.c                    7       +0  TRKTargetSupportRequest, TRKTargetStepOutOfRange, TRKTargetSingleStep, TRKTargetVersions, TRKValidMemory32
dolphin/TRK_MINNOW_DOLPHIN/dolphin_trk_glue.c            2      +20  InitMetroTRKCommTable
MSL_C/PPCEABI/bare/H/printf.c                    1      +28  parse_format
MSL_C/PPCEABI/bare/H/wchar_io.c                  1     +144  fwide[NEWFN]
MSL_C/PPCEABI/bare/H/s_copysign.c                1     +148  copysign[NEWFN]
main/acosf.c                                             2     -35c  atanf, atan2f
main/trig.c                                              2     -340  fsin16HighPrecision, fcos16Precise
dlls/objects/195_Player/player.c                       512    -3820  playerStopRidingObject, playerSetStateValue, objSetPos, isTrickyNear, playerIsQuakeShockwaveActive, playerIsDisguised, staffToggle, playerTeleport, objSetXRot, Obj_IsParentSlackClear, playerIsInNormalControl, playerIsNotAttacking, playerHasSpell, objGetAnimStateFlags, playerSetHeldObject, playerPutAwayStaff, playerGetAimAngles, playerGetSurfaceType, playerAddHealth, playerDisableHitDetect, playerIsDead, playerReparentPreservingWorldTransform, playerSetInCutscene, playerGetAttackHitProperties, playerState41, playerState40, playerState3F, playerState3D, playerState3C, playerStateSuperQuake, playerState35, playerState34, playerStateStaffLiftRock, playerStagedResetAnimStateAndSyncPosition, playerStateStaffBoost, playerState31, playerStateFireLaser, playerStateShootFireball, playerStateTryCastSpell, playerStateAimStaff, playerStateStopAimStaff, playerStateStartAimStaff, playerState29, playerState28, playerState27, playerStateAttack, playerStagedEndIceSpellAndSettleHeading, playerState25, playerState23, playerState22, playerState21, playerState20, playerState1F, playerState1E, playerStagedRestoreCameraAndSyncPosition, playerState1D, playerState1C, playerState1B, playerStateOnCloudRunner, playerState19, playerStateOnBike, playerStateMountBike, playerStagedRestoreCameraUnlessClimbing, playerStateClimbDownFromWall, playerStateClimbUpFromWall, playerStateClimbWall, playerStateClimbOntoWall, playerPlayClimbingSound, playerState11, playerStateSlideDownLadder, playerStateOnLadder, playerStateClimbOntoLadder, playerStateClimbLedge, playerState0B, playerStateGrabLedge, playerState09, playerState08, playerStateThrowing, playerStagedMarkTeleported, playerState06, playerState05, playerState04, playerStagedRestoreDefaultControl, playerStateMoving, playerStateIdle, playerState00, playerCheckIfClimbingOntoWall, player_probeClimbable, playerBuildWallTransitionProbe, playerBuildLedgeClimbProbe, playerRestoreAfterSequence, playerCastIceSpell, playerCanUseStaffBooster, playerCanCastPortalOpenSpell, playerCanCastQuakeSpell, playerCanCastBlasterSpell, playerIsBlasterSpellAvailable, playerSyncTransformToFocusObject, playerFireCloudRunnerProjectile, playerSpawnRapidFireLaser, staffShootFireball, objDoTeleportAnim, playerDrawTeleportAnim, playerRenderPostEffects, playerFindNearestLookTarget, playerCastSpell, playerRefreshCollisionState, playerUpdateLookAndLean, playerUpdateCameraTargetLookAngles, playerUpdateLookAtTarget, playerCheckCommonTransitions, playerSetMovingAnims, playerUpdateAirborneMotion, playerUpdateFallingMotion, playerUpdateWaterMotion, playerUpdateStaffAttack, playerEnterDeepWater, playerStartStaffAttack, staffAnimate, playerProcessQueuedItemCommand, playerRunActiveSpells, playerProcessHitResponse, playerDoEyeAnims, playerUpdateMotionState, playerUpdateInputTimers, playerDoControls, playerUpdateVelocityFromMotion, playerUpdateSurfaceResponse, playerProcessMessages, player_SeqFn, playerUpdateTargetSelection, playerAnimate, playerRenderFuzz, playerRender, playerDoHitDetection, playerUpdateWhileTimeStopped, playerUpdate, objLoadPlayerFromSave
dlls/objects/437/437.c                                  29    -87e8  Lightfoot_UpdateProximityInteractionState, Lightfoot_UpdateCompletionInteraction, Lightfoot_UpdateChallengeGateInteraction, Lightfoot_UpdateWanderSteering, Lightfoot_UpdateButtonTimingChallenge, Lightfoot_ProcessHitResponseFlags, Lightfoot_UpdateAttachedChild, Lightfoot_SeqFn, Lightfoot_update, Lightfoot_init

whole-function insertions (B addr, size):
  8000DF70 +0xd4
  8000E3B0 +0xf4
  8000E86C +0x160
  8001E988 +0x48
  8001F04C +0x29bc
  800274D8 +0x27c
  8002D794 +0x48
  800322B8 +0x11f8
  80034EC8 +0x114
  80035240 +0x388
  800358F8 +0x3cc
  80049B38 +0x12c
  80054190 +0x128
  8006D73C +0x6dc
  8006E08C +0x7c
  8009FCAC +0x294
  800A0628 +0x4fc
  801167D8 +0x130
  801319E8 +0x458
  8014CD7C +0x2f0
  80150310 +0x29c
  8015FAC8 +0x1d0
  80183C74 +0x624
  80187C00 +0x564
  80188674 +0x284
  8018A274 +0xd4c
  8018CDCC +0x27c
  80190160 +0xa70
  801AFA50 +0x604
  801C451C +0x848
  801CBCBC +0x27c
  801E394C +0xb498
  801F3CB0 +0x58c
  801F4534 +0x290
  801F523C +0x3c0
  80207C7C +0x28c
  8021CEF0 +0x12c
  80224018 +0x110
  80224370 +0x408
  802258BC +0x340
  8022B924 +0x8c0
  80243C64 +0x6c
  80248FB8 +0xbc
  80249F3C +0x10c
  80282EA0 +0x7e8
  8028F43C +0x144
  8028F5A0 +0x148
